geo,year,unit,leg_stat,citizen,value
Bulgaria,2008,NR,PER_PRSC,FOR,
Bulgaria,2008,NR,PER_SUSP,FOR,1384.0
Bulgaria,2008,P_HTHAB,PER_CNV,FOR,12.01
Bulgaria,2008,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2008,P_HTHAB,PER_SUSP,FOR,18.41
Bulgaria,2009,NR,PER_CNV,FOR,1024.0
Bulgaria,2009,NR,PER_PRSC,FOR,
Bulgaria,2009,NR,PER_SUSP,FOR,1297.0
Bulgaria,2009,P_HTHAB,PER_CNV,FOR,13.71
Bulgaria,2009,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2009,P_HTHAB,PER_SUSP,FOR,17.37
Bulgaria,2010,NR,PER_CNV,FOR,2286.0
Bulgaria,2010,NR,PER_PRSC,FOR,
Bulgaria,2010,NR,PER_SUSP,FOR,1741.0
Bulgaria,2010,P_HTHAB,PER_CNV,FOR,30.8
Bulgaria,2010,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2010,P_HTHAB,PER_SUSP,FOR,23.46
Bulgaria,2011,NR,PER_CNV,FOR,1579.0
Bulgaria,2011,NR,PER_PRSC,FOR,
Bulgaria,2011,NR,PER_SUSP,FOR,1505.0
Bulgaria,2011,P_HTHAB,PER_CNV,FOR,21.43
Bulgaria,2011,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2011,P_HTHAB,PER_SUSP,FOR,20.42
Bulgaria,2012,NR,PER_CNV,FOR,1931.0
Bulgaria,2012,NR,PER_PRSC,FOR,
Bulgaria,2012,NR,PER_SUSP,FOR,1943.0
Bulgaria,2012,P_HTHAB,PER_CNV,FOR,26.35
Bulgaria,2012,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2012,P_HTHAB,PER_SUSP,FOR,26.52
Bulgaria,2013,NR,PER_CNV,FOR,3464.0
Bulgaria,2013,NR,PER_PRSC,FOR,
Bulgaria,2013,NR,PER_SUSP,FOR,2850.0
Bulgaria,2013,P_HTHAB,PER_CNV,FOR,47.55
Bulgaria,2013,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2013,P_HTHAB,PER_SUSP,FOR,39.12
Bulgaria,2014,NR,PER_CNV,FOR,4851.0
Bulgaria,2014,NR,PER_PRSC,FOR,
Bulgaria,2014,NR,PER_SUSP,FOR,52536.0
Bulgaria,2014,P_HTHAB,PER_CNV,FOR,66.95
Bulgaria,2014,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2014,P_HTHAB,PER_SUSP,FOR,725.07
Bulgaria,2015,NR,PER_CNV,FOR,3271.0
Bulgaria,2015,NR,PER_PRSC,FOR,
Bulgaria,2015,NR,PER_SUSP,FOR,3196.0
Bulgaria,2015,P_HTHAB,PER_CNV,FOR,45.42
Bulgaria,2015,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2015,P_HTHAB,PER_SUSP,FOR,44.38
Bulgaria,2016,NR,PER_CNV,FOR,2281.0
Bulgaria,2016,NR,PER_PRSC,FOR,
Bulgaria,2016,NR,PER_SUSP,FOR,2273.0
Bulgaria,2016,P_HTHAB,PER_CNV,FOR,31.89
Bulgaria,2016,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2016,P_HTHAB,PER_SUSP,FOR,31.77
Bulgaria,2017,NR,PER_CNV,FOR,1465.0
Bulgaria,2017,NR,PER_PRSC,FOR,
Bulgaria,2017,NR,PER_SUSP,FOR,1737.0
Bulgaria,2017,P_HTHAB,PER_CNV,FOR,20.63
Bulgaria,2017,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2017,P_HTHAB,PER_SUSP,FOR,24.46
Bulgaria,2018,NR,PER_CNV,FOR,1211.0
Bulgaria,2018,NR,PER_PRSC,FOR,
Bulgaria,2018,NR,PER_SUSP,FOR,1514.0
Bulgaria,2018,P_HTHAB,PER_CNV,FOR,17.18
Bulgaria,2018,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2018,P_HTHAB,PER_SUSP,FOR,21.48
Bulgaria,2019,NR,PER_CNV,FOR,1177.0
Bulgaria,2019,NR,PER_PRSC,FOR,
Bulgaria,2019,NR,PER_SUSP,FOR,1350.0
Bulgaria,2019,P_HTHAB,PER_CNV,FOR,16.81
Bulgaria,2019,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2019,P_HTHAB,PER_SUSP,FOR,19.29
Bulgaria,2020,NR,PER_CNV,FOR,1011.0
Bulgaria,2020,NR,PER_PRSC,FOR,
Bulgaria,2020,NR,PER_SUSP,FOR,1407.0
Bulgaria,2020,P_HTHAB,PER_CNV,FOR,14.54
Bulgaria,2020,P_HTHAB,PER_PRSC,FOR,
Bulgaria,2020,P_HTHAB,PER_SUSP,FOR,20.24
Bulgaria,2021,NR,PER_CNV,FOR,1866.0
Bulgaria,2021,NR,PER_PRSC,FOR,
Bulgaria,2021,NR,PER_SUSP,FOR,2027.0
Bulgaria,2021,P_HTHAB,PER_CNV,FOR,26.98
Bulgaria,2021,P_HTHAB,PER_PRSC,FOR,
